
P2:  Read id: 0 NULL
P2:  Read id: 0 NULL
P2:  Read id: 4 NULL
P1:  Write id: 5  Percent: 14
P2: Read id: 0  Percent: 48
P2:  Write id: 5  Percent: 19
P2:  Write id: 0  Percent: 53
P2: Read id: 4  Percent: 25
P2:  Write id: 0  Percent: 58
P2: Read id: 3  Percent: 17
P2:  Write id: 0  Percent: 63
P2: Read id: 6  Percent: 14
P2: Read id: 2  Percent: 26
P2: Read id: 0  Percent: 63
P2:  Write id: 4  Percent: 30
P2: Read id: 0  Percent: 63
P2:  Write id: 0  Percent: 68
P2: Read id: 3  Percent: 17
P2: Read id: 0  Percent: 68
P2: Read id: 5  Percent: 19
P2:  Write id: 4  Percent: 35
P2: Read id: 3  Percent: 17
P2: Read id: 5  Percent: 19
P2:  Write id: 4  Percent: 40
P1:  Write id: 1  Percent: 23
P3: Read id: 0  Percent: 68
P3: Read id: 0  Percent: 68
P1:  Write id: 0  Percent: 69
P2: Read id: 3  Percent: 17
P2:  Write id: 4  Percent: 45
P2:  Write id: 2  Percent: 31
P1: Read id: 6  Percent: 14
P1: Read id: 1  Percent: 23
P1: Read id: 0  Percent: 69
P1:  Write id: 0  Percent: 70
P1:  Write id: 1  Percent: 24
P2: Read id: 6  Percent: 14
P2:  Write id: 5  Percent: 24
P2: Read id: 5  Percent: 24
P2:  Write id: 0  Percent: 75
P2: Read id: 0  Percent: 75
P2: Read id: 2  Percent: 31
P2:  Write id: 0  Percent: 80
P1: Read id: 6  Percent: 14
P1:  Write id: 1  Percent: 25
P1:  Write id: 6  Percent: 15
P2:  Write id: 0  Percent: 85
P1:  Write id: 1  Percent: 26
P3: Read id: 2  Percent: 31
P3: Read id: 1  Percent: 26
P3: Read id: 2  Percent: 31
P1:  Write id: 0  Percent: 86
P2:  Write id: 2  Percent: 36
P1: Read id: 3  Percent: 17
P1:  Write id: 0  Percent: 87
P1:  Write id: 3  Percent: 18
P2:  Write id: 5  Percent: 29
P1: Read id: 3  Percent: 18
P2: Read id: 3  Percent: 18
